START LOADING DATA
['14094', '13368', '12701', '12235', '11950', '11786', '11716', '11554', '11398', '11866', '12326', '12763', '13221', '13641', '13761', '14037', '15511', '15883', '15912', '16046', '15726', '15097', '14539', '13448']
['12558', '11945', '11666', '11577', '11643', '11895', '12512', '13003', '13589', '14643', '15395', '15790', '15959', '16292', '16173', '16449', '17799', '18105', '18023', '17938', '17450', '16477', '15694', '14667']
LOADING DATA COMPLETED
['2010', '1', '11', '4.0', '1.0', '-4.1', '3'] bialystok
['2010', '1', '12', '5.0', '1.5', '-4.5', '3'] bialystok
['2010', '1', '12', '5.0', '1.7', '-4.5', '3'] bialystok
['2010', '1', '12', '5.0', '2.0', '-4.0', '3'] bialystok
['2010', '1', '12', '13.0', '1.5', '-3.0', '2'] bialystok
['2010', '1', '12', '3.1', '1.3', '-3.0', '3'] bialystok
['2010', '1', '12', '3.0', '1.0', '-3.4', '5'] bialystok
['2010', '1', '12', '3.6', '1.2', '-6.2', '3'] bialystok
['2010', '1', '13', '14.0', '1.0', '-11.4', '0'] bialystok
['2010', '1', '13', '12.0', '1.2', '-12.7', '2'] bialystok
['2010', '1', '13', '4.9', '2.4', '-10.6', '2'] bialystok
['2010', '1', '13', '18.0', '1.5', '-6.7', '2'] bialystok
['2010', '1', '13', '15.0', '2.1', '-9.0', '2'] bialystok
['2010', '1', '13', '3.1', '2.2', '-13.7', '1'] bialystok
['2010', '1', '13', '2.0', '2.7', '-13.8', '1'] bialystok
['2010', '1', '14', '3.8', '2.6', '-18.4', '1'] bialystok
['2010', '1', '14', '4.4', '3.2', '-16.4', '2'] bialystok
['2010', '1', '14', '16.0', '4.4', '-12.5', '3'] bialystok
['2010', '1', '14', '15.0', '3.8', '-7.5', '2'] bialystok
['2010', '1', '14', '11.0', '4.6', '-10.3', '3'] bialystok
['2010', '1', '14', '3.3', '5.4', '-12.3', '2'] bialystok
['2010', '1', '14', '11.0', '6.3', '-13.2', '3'] bialystok
['2010', '1', '15', '3.2', '7.8', '-13.3', '2'] bialystok
['2010', '1', '15', '3.0', '9.3', '-16.8', '1'] bialystok
['2010', '1', '18', '15.0', '9.6', '-6.9', '5'] bialystok
['2010', '1', '18', '14.0', '9.7', '-6.8', '6'] bialystok
['2010', '1', '18', '14.0', '9.7', '-6.5', '4'] bialystok
['2010', '1', '19', '16.0', '9.8', '-10.1', '3'] bialystok
['2010', '1', '19', '14.0', '9.8', '-10.3', '4'] bialystok
['2010', '1', '19', '3.2', '9.8', '-10.7', '3'] bialystok
['2010', '1', '19', '2.0', '9.9', '-10.8', '4'] bialystok
['2010', '1', '20', '3.0', '9.4', '-10.5', '4'] bialystok
['2010', '1', '20', '40.0', '9.0', '-10.9', '5'] bialystok
['2010', '1', '20', '40.0', '9.7', '-11.0', '5'] bialystok
['2010', '1', '20', '30.0', '9.0', '-9.6', '5'] bialystok
['2010', '1', '20', '24.0', '9.3', '-10.3', '6'] bialystok
['2010', '1', '20', '45.0', '9.9', '-10.7', '6'] bialystok
['2010', '1', '27', '5.0', '8.1', '-15.9', '2'] bialystok
['2010', '1', '27', '17.0', '4.4', '-12.6', '2'] bialystok
['2010', '1', '27', '3.5', '1.2', '-15.8', '2'] bialystok
['2010', '2', '4', '2.1', '0.2', '-6.4', '2'] bialystok
['2010', '2', '4', '4.5', '2.3', '-3.1', '2'] bialystok
['2010', '2', '4', '5.0', '3.9', '-1.2', '2'] bialystok
['2010', '2', '4', '4.0', '5.2', '-3.7', '1'] bialystok
['2010', '2', '4', '0.9', '6.7', '-10.7', '0'] bialystok
['2010', '2', '4', '0.1', '7.3', '-14.3', '1'] bialystok
['2010', '2', '5', '2.2', '8.6', '-8.3', '2'] bialystok
['2010', '2', '5', '1.2', '9.3', '-7.2', '2'] bialystok
['2010', '2', '5', '2.1', '9.9', '-5.1', '3'] bialystok
['2010', '2', '5', '13.0', '9.6', '-5.2', '4'] bialystok
['2010', '2', '5', '16.0', '9.1', '-7.8', '4'] bialystok
['2010', '2', '5', '12.0', '9.7', '-8.1', '4'] bialystok
['2010', '2', '5', '14.0', '9.0', '-6.0', '6'] bialystok
['2010', '2', '6', '15.0', '7.7', '-7.9', '6'] bialystok
['2010', '2', '6', '14.0', '7.4', '-7.7', '4'] bialystok
['2010', '2', '6', '12.0', '6.7', '-7.0', '4'] bialystok
['2010', '2', '6', '22.0', '6.1', '-6.6', '6'] bialystok
['2010', '2', '6', '17.0', '5.9', '-6.8', '4'] bialystok
['2010', '2', '6', '19.0', '6.2', '-7.6', '4'] bialystok
['2010', '2', '6', '30.0', '5.8', '-9.1', '4'] bialystok
['2010', '2', '7', '23.0', '5.2', '-11.4', '2'] bialystok
['2010', '2', '7', '35.0', '5.3', '-11.5', '3'] bialystok
['2010', '2', '7', '30.0', '5.7', '-9.6', '4'] bialystok
['2010', '2', '7', '33.0', '4.9', '-6.1', '2'] bialystok
['2010', '2', '7', '31.0', '4.1', '-6.7', '4'] bialystok
['2010', '2', '7', '26.0', '3.8', '-10.2', '3'] bialystok
['2010', '2', '7', '17.0', '3.1', '-9.2', '2'] bialystok
['2010', '2', '8', '20.0', '0.3', '-11.3', '2'] bialystok
['2010', '3', '6', '29.0', '0.3', '-3.3', '3'] bialystok
['2010', '3', '6', '30.0', '1.1', '-3.2', '3'] bialystok
['2010', '3', '6', '25.0', '3.0', '-4.6', '3'] bialystok
['2010', '3', '6', '31.0', '4.5', '-5.4', '4'] bialystok
['2010', '3', '7', '35.0', '6.0', '-7.5', '2'] bialystok
['2010', '3', '7', '18.0', '7.4', '-8.5', '1'] bialystok
['2010', '3', '7', '23.0', '8.3', '-5.7', '3'] bialystok
['2010', '3', '7', '30.0', '8.0', '-2.8', '2'] bialystok
